OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
64192,9,1,78,129,2016,2,18,4,3,5,3,2,0,1,1,0,0,0,0,710739099.0,5371380016.0,11.850677244,48.460225899,1,#66c2a5,bicycle
64198,9,1,62,0,2016,2,15,1,3,8,7,0,0,0,1,0,0,0,0,694708726.0,5342298642.0,11.620644492,48.204030936,2,#fc8d62,car
64202,9,1,87,177,2016,2,19,7,3,5,2,2,1,1,1,0,0,0,0,736336.7582,5305688.7468,12.159925268,47.861024268,1,#66c2a5,bicycle
64203,9,1,63,0,2016,2,19,5,3,2,6,2,1,0,1,0,0,0,0,733756.6619,5303288.8039,12.124185077,47.84040684,2,#fc8d62,car
64205,9,1,90,158,2016,2,13,6,3,4,2,0,1,0,1,0,0,0,0,653859.7452,5303952.5484,11.057486042,47.87046708,2,#fc8d62,car
64206,9,1,74,135,2016,2,18,5,3,2,6,2,0,0,1,0,0,0,0,661500926.0,5354591.2016,11.178753515,48.323862021,2,#fc8d62,car
64211,9,1,90,157,2016,2,3,3,3,4,7,2,0,0,1,0,0,0,0,654893.4705,5303693.0295,11.071207185,47.867885138,2,#fc8d62,car
64216,9,1,74,136,2016,2,9,6,3,4,2,0,0,0,1,0,0,0,0,682412888.0,5364856882.0,11.465065898,48.410445508,2,#fc8d62,car
64222,9,1,62,0,2016,2,13,7,3,1,6,0,0,0,1,0,0,0,1,687389.9,5332685.8396,11.518004187,48.119831445,2,#fc8d62,car
64225,9,7,77,182,2016,2,12,5,3,2,2,0,0,0,0,0,0,1,1,627492.1448,5308436563.0,10.706388927,47.916569701,5,#a6d854,bus
64227,9,1,74,113,2016,2,9,5,3,2,6,0,1,0,1,0,0,0,0,674281.7007,5344986445.0,11.34706901,48.234129127,2,#fc8d62,car
64231,9,1,90,159,2016,2,14,2,3,4,6,0,0,0,0,0,0,1,0,664124.9093,5305782.2274,11.195350951,47.884376232,5,#a6d854,bus
64237,9,7,77,140,2016,2,12,5,3,4,1,0,0,0,1,0,0,0,0,629261744.0,5314174.9105,10.731785896,47.967821312,2,#fc8d62,car
64238,9,1,62,0,2016,2,16,1,3,5,3,0,0,0,1,0,0,0,0,694925521.0,5331726.7685,11.618716269,48.108949533,2,#fc8d62,car
64242,9,1,78,124,2016,2,17,7,3,4,2,2,1,0,1,0,0,0,0,703009.61,5363868579.0,11.742610172,48.395268007,2,#fc8d62,car
64243,9,1,62,0,2016,2,13,4,3,5,2,0,0,1,1,0,0,0,0,689192.8669,5330626.5168,11.541293152,48.100788792,1,#66c2a5,bicycle
64245,9,1,77,117,2016,2,6,5,3,9,1,1,2,0,1,0,0,0,0,716598.2726,5350846404.0,11.919256382,48.273744485,2,#fc8d62,car
64247,9,1,74,146,2016,2,8,2,3,2,6,0,0,0,1,0,0,0,1,666680.4799,5351007.2174,11.247158473,48.290298433,2,#fc8d62,car
64249,9,1,88,120,2016,2,7,5,3,9,1,0,2,0,1,0,0,0,0,674440.2403,5326623.3387,11.341675684,48.0690122,2,#fc8d62,car
