OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
54362,9,1,82,133,2019,2,7,1,3,2,1,0,0,1,0,0,0,0,704526.589757,5307632.50905,11.736069884,47.889407245,1,2,#fc8d62,car
54363,9,1,84,130,2019,2,6,5,3,4,6,1,0,1,0,0,0,0,700491.994218,5342831.88691,11.698646872,48.207023256,1,2,#fc8d62,car
54366,9,1,79,123,2019,2,16,1,3,4,6,2,0,1,0,0,0,0,677423.298957,5335098.98553,11.385209132,48.144378933,2,2,#fc8d62,car
54368,9,1,87,167,2019,2,7,5,3,5,3,0,1,1,0,0,0,0,739944.45,5303459349,12.206847921,47.839660014,2,1,#66c2a5,bicycle
54369,9,1,87,179,2019,2,17,5,3,5,3,1,0,1,0,0,0,0,725616.585353,5314466.42601,12.021392491,47.943743715,1,2,#fc8d62,car
54370,9,1,87,130,2019,2,18,5,3,8,1,2,0,1,0,0,0,0,714205.467608,5307628.66338,11.865384196,47.886216063,0,2,#fc8d62,car
54373,9,1,86,143,2019,2,7,5,3,5,3,0,1,1,0,0,0,0,683028.133636,5377329.02404,11.478828593,48.522367308,0,1,#66c2a5,bicycle
54374,9,1,81,130,2019,2,10,5,3,6,4,0,0,0,1,0,0,1,636430.391125,5320703.69725,10.829854073,48.025044226,0,3,#8da0cb,toilet
54375,9,1,74,115,2019,2,19,5,3,2,2,2,0,1,0,1,0,0,683285.566331,5348151.25979,11.469580936,48.260037726,0,2,#fc8d62,car
54376,9,1,75,132,2019,2,17,5,3,2,6,1,0,1,0,0,0,0,705195.298692,5335834.80466,11.758501101,48.142641488,0,2,#fc8d62,car
54377,9,1,75,132,2019,2,10,5,3,3,6,0,0,1,0,0,1,0,706402.79044,5336032.59117,11.77480995,48.144028324,0,2,#fc8d62,car
54378,9,1,84,149,2019,2,18,5,3,2,6,2,0,1,0,0,0,0,689033.704965,5350231.97947,11.547882815,48.277050215,0,2,#fc8d62,car
