fid,OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
12180,174072,"9,20101600740144E+018",9,7,77,121,2020,10,14,6,3,0,3,0,0,1,0,0,0,0,629166.5462,5322325.2254,10.732965214,48.041136847,1,2,#fc8d62,car
12181,174073,"9,20102000855246E+018",9,1,62,0,2020,10,17,3,3,8,7,0,1,0,0,0,0,0,690907.6506,5340781.5681,11.568856376,48.191550118,0,1,#66c2a5,bicycle
12182,174076,"9,20101500858244E+018",9,1,62,0,2020,10,14,5,3,0,1,0,1,0,0,0,0,0,687582449,5336720895,11.522365981,48.156042827,1,1,#66c2a5,bicycle
12183,174077,"9,20101500857151E+018",9,1,62,0,2020,10,21,5,3,5,3,2,0,1,0,0,0,1,687184.4408,5329864.6739,11.51400839,48.094534271,1,2,#fc8d62,car
12184,174079,"9,20101500857146E+018",9,1,62,0,2020,10,11,5,3,0,7,0,1,1,0,0,0,0,691656.6349,5334116.3977,11.575921212,48.131419209,0,1,#66c2a5,bicycle
12185,174080,"9,20101700858246E+018",9,1,62,0,2020,10,17,7,3,6,6,0,1,0,1,0,0,0,698364.5591,5338800.1231,11.66816088,48.171457654,0,1,#66c2a5,bicycle
12186,174082,"9,20101600858245E+018",9,1,62,0,2020,10,7,6,3,0,7,0,1,0,0,0,0,0,690566.6723,5335335.3484,11.561832369,48.142702371,1,1,#66c2a5,bicycle
12187,174083,"9,20101500857144E+018",9,1,62,0,2020,10,18,5,3,5,3,2,1,1,0,0,0,0,688949.2039,5333346989,11.539228737,48.125313156,1,1,#66c2a5,bicycle
12188,174088,"9,20101500854544E+018",9,1,62,0,2020,10,14,5,3,5,3,0,1,1,0,0,0,0,681658608,5335798.8388,11.442392567,48.14947451,1,1,#66c2a5,bicycle
12189,174091,"9,20101500852844E+018",9,1,84,136,2020,10,11,5,3,0,7,0,1,0,0,0,0,0,698748.3461,5325791.5896,11.667255711,48.054427117,0,1,#66c2a5,bicycle
12190,174092,"9,20101700711944E+018",9,7,72,163,2020,10,14,7,3,1,6,0,0,1,0,0,0,0,639399965,5349653.5148,10.879146043,48.284723419,0,2,#fc8d62,car
12191,174093,"9,20102000712344E+018",9,7,72,147,2020,10,16,3,3,8,7,0,0,1,0,0,0,0,639032.4717,5364006.0706,10.878934847,48.413859647,0,2,#fc8d62,car
