OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,ULICHTVERH,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
170802,"9,17E+18",9,7,71,146,2017,3,10,7,3,5,1,1,1,0,0,0,0,0,646360.4802,5348921.2574,10.972665486,48.276568352,1,#66c2a5,bicycle
170803,"9,17E+18",9,7,71,142,2017,3,12,7,3,0,6,0,1,0,1,0,0,0,646948.6174,5351923343.0,10.98163204,48.303424927,2,#fc8d62,car
170804,"9,17E+18",9,7,71,130,2017,3,14,7,3,2,6,0,1,0,1,0,0,0,646274.7301,5357808.8238,10.974592882,48.356499374,2,#fc8d62,car
170805,"9,17E+18",9,7,61,0,2017,3,0,7,3,5,3,0,1,0,0,0,2,0,638845.3179,5355537.1581,10.873609848,48.337750372,2,#fc8d62,car
170806,"9,17E+18",9,7,61,0,2017,3,11,7,3,3,6,0,1,0,0,0,0,0,640749.3663,5359244.7027,10.900528777,48.370666144,2,#fc8d62,car
170829,"9,17E+18",9,1,63,0,2017,3,23,7,3,8,1,0,0,0,1,0,2,0,733771.1062,5305232.6331,12.125427912,47.857865005,4,#e78ac3,marker
170831,"9,17E+18",9,1,87,117,2017,3,4,7,3,8,1,0,1,0,0,0,2,0,724123179.0,5305977208.0,11.997011216,47.867992256,2,#fc8d62,car
170833,"9,17E+18",9,1,81,130,2017,3,17,7,3,0,7,1,0,0,0,0,0,0,640015242.0,5323408265.0,10.878793265,48.048588767,1,#66c2a5,bicycle
170834,"9,17E+18",9,1,81,143,2017,3,13,7,3,0,7,1,0,0,0,0,0,0,635881.7383,5314118.8732,10.820414423,47.965946208,1,#66c2a5,bicycle
170835,"9,17E+18",9,1,79,145,2017,3,22,7,3,8,1,1,0,0,0,0,2,0,674277.9331,5338388.4804,11.34430871,48.174818967,1,#66c2a5,bicycle
170836,"9,17E+18",9,1,62,0,2017,3,5,6,3,2,2,0,1,0,1,0,2,0,692429659.0,5338145.3703,11.588121261,48.167397449,2,#fc8d62,car
170837,"9,17E+18",9,1,62,0,2017,3,16,6,3,0,3,0,1,0,1,0,0,0,687496.7118,5327032.4055,11.516955228,48.06898502,2,#fc8d62,car
170838,"9,17E+18",9,1,62,0,2017,3,22,6,3,5,6,0,1,0,0,0,2,0,693934.76,5331205931.0,11.605183508,48.104570808,2,#fc8d62,car
170839,"9,17E+18",9,1,62,0,2017,3,13,6,3,5,3,1,0,0,0,0,0,0,693815.9126,5335709.5303,11.605636528,48.145083901,1,#66c2a5,bicycle
170840,"9,17E+18",9,1,84,149,2017,3,14,6,3,5,3,1,0,0,0,0,0,0,691093.3474,5351381.4694,11.576134406,48.28676326,1,#66c2a5,bicycle
170841,"9,17E+18",9,1,62,0,2017,3,18,6,3,2,6,0,1,0,0,0,1,0,688648.0301,5336289.5861,11.536488814,48.151850968,2,#fc8d62,car
170842,"9,17E+18",9,1,62,0,2017,3,7,6,3,3,2,1,1,0,0,0,0,1,686544.3422,5328100.3469,11.504649412,48.078863405,1,#66c2a5,bicycle
170851,"9,17E+18",9,7,72,125,2017,3,17,6,2,5,3,1,1,0,0,0,0,0,636490.2658,5347989.3104,10.839406358,48.270392805,1,#66c2a5,bicycle
170852,"9,17E+18",9,7,61,0,2017,3,16,6,3,1,6,0,1,0,0,0,0,0,639298141.0,5361878.3916,10.881817058,48.394669543,2,#fc8d62,car
