ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
9,1,81,114,2018,1,0,6,3,7,7,2,0,1,0,0,0,0,1,652860.2738,5317470987.0,11.048927324,47.99225744,2,#fc8d62,car
9,1,74,136,2018,1,10,6,3,2,6,0,0,1,0,0,0,0,1,682412888.0,5364856882.0,11.465065898,48.410445508,2,#fc8d62,car
9,1,62,0,2018,1,14,5,3,2,6,0,0,1,0,0,0,0,1,692074.4437,5340374.5772,11.584356189,48.187540428,2,#fc8d62,car
9,1,84,130,2018,1,12,5,3,2,6,0,0,1,0,0,0,0,1,702750.1143,5349460.1334,11.732177793,48.265871413,2,#fc8d62,car
9,1,62,0,2018,1,16,5,2,6,4,2,0,1,1,0,0,0,1,694598.7108,5336838.5616,11.616665167,48.154992179,2,#fc8d62,car
9,1,62,0,2018,1,18,5,3,2,6,2,0,1,0,0,0,0,1,684104.6709,5335414.8417,11.475082095,48.145319661,2,#fc8d62,car
9,1,84,129,2018,1,17,5,3,1,5,2,0,0,0,0,1,0,1,701014.6998,5325115.3032,11.697318401,48.047639469,5,#a6d854,bus
9,1,78,120,2018,1,23,3,3,4,2,2,0,1,0,0,0,0,0,694996.9962,5352944.2361,11.629424131,48.299617867,2,#fc8d62,car
9,2,74,146,2018,1,12,3,3,8,1,0,0,1,0,0,0,0,1,735486.2437,5374471.6168,12.18666273,48.479223753,2,#fc8d62,car
9,7,73,125,2018,1,20,6,2,8,1,2,0,1,0,0,0,0,0,618429869.0,5381001349.0,10.605446057,48.570905378,2,#fc8d62,car
9,7,71,113,2018,1,23,6,3,9,1,2,0,1,0,0,0,0,0,659264.4327,5365234.8209,11.152635386,48.42011829,2,#fc8d62,car
9,7,71,156,2018,1,12,6,2,2,6,0,0,1,0,0,0,0,0,653968.4659,5384791.6372,11.088319662,48.597258856,2,#fc8d62,car
9,1,84,132,2018,1,17,3,3,3,6,2,0,1,0,0,0,0,1,684410.4027,5326326.8672,11.475260752,48.063542908,2,#fc8d62,car
9,1,83,119,2018,1,5,1,3,0,1,2,0,1,0,0,0,0,1,737586656.0,5339543418.0,12.195363469,48.164688114,2,#fc8d62,car
9,7,72,159,2018,1,20,2,3,8,7,2,0,1,0,0,0,0,1,628047.3625,5363155.8842,10.730292117,48.408542424,2,#fc8d62,car
9,1,79,123,2018,1,17,2,3,2,6,2,0,1,0,0,0,0,0,677205.1079,5334975.9938,11.382227301,48.143334153,2,#fc8d62,car
9,1,87,182,2018,1,12,3,3,2,3,0,0,1,0,0,0,0,0,741117.6549,5326995.4937,12.235684376,48.0506457,2,#fc8d62,car
9,1,86,152,2018,1,1,1,3,9,1,2,0,1,0,0,0,0,0,691161.7437,5380905198.0,11.590511223,48.552083274,2,#fc8d62,car
9,1,77,117,2018,1,8,2,3,0,7,0,0,0,0,1,0,0,0,714438.7051,5355461.1865,11.892532107,48.315944308,4,#e78ac3,marker
9,1,88,121,2018,1,10,3,3,0,6,0,1,1,0,0,0,0,1,670927.5313,5331239.1109,11.296408536,48.111458151,1,#66c2a5,bicycle
9,7,72,147,2018,1,17,7,3,8,6,2,0,1,0,0,0,0,0,638451.4274,5367548595.0,10.872256948,48.44584091,2,#fc8d62,car
9,1,73,126,2018,1,7,2,2,2,6,1,0,1,0,0,0,0,1,680971.2283,5307872.9822,11.421367082,47.898643078,2,#fc8d62,car
9,1,77,131,2018,1,6,3,3,9,1,2,0,1,0,0,0,0,1,711680.9029,5348712.4181,11.851999772,48.256231868,2,#fc8d62,car
9,2,61,0,2018,1,14,6,3,0,1,0,1,0,0,0,0,0,0,729709.0142,5380843.1089,12.112111292,48.538596373,1,#66c2a5,bicycle
9,1,73,137,2018,1,13,6,2,4,2,0,0,1,0,0,0,0,0,679030.8588,5308236.1733,11.395579545,47.9024523,2,#fc8d62,car
9,1,90,157,2018,1,15,6,3,1,6,0,0,1,0,0,0,0,0,656740.6396,5302239.9857,11.095363437,47.854372166,2,#fc8d62,car
9,7,77,158,2018,1,6,2,3,5,3,1,0,1,0,0,0,0,0,621567.8752,5309215.3674,10.627350527,47.92472467,2,#fc8d62,car
9,1,73,118,2018,1,20,6,3,8,7,2,0,1,0,0,0,0,1,685892.7848,5307038.3845,11.486793973,47.889734104,2,#fc8d62,car
9,1,62,0,2018,1,9,2,2,5,3,0,1,1,0,0,0,0,0,694568.2669,5333995.3807,11.614957185,48.129448184,1,#66c2a5,bicycle
9,1,82,125,2018,1,20,6,3,4,2,2,0,1,0,0,0,0,0,712618.3619,5296729.8734,11.838828909,47.788803138,2,#fc8d62,car
9,1,87,150,2018,1,12,6,3,2,1,0,0,1,0,0,0,0,0,729316.6921,5303369.4176,12.064975685,47.84272976,2,#fc8d62,car
9,1,63,0,2018,1,16,1,3,4,2,1,0,1,0,0,0,0,0,734284.5512,5304536.2707,12.131904755,47.85142195,2,#fc8d62,car
9,1,86,132,2018,1,14,6,3,2,6,0,0,1,0,0,0,0,0,677231.6025,5369052868.0,11.396886504,48.449639924,2,#fc8d62,car
9,1,77,135,2018,1,13,6,2,5,2,0,0,1,0,0,0,0,0,719148.0006,5344332.7652,11.950203429,48.214343382,2,#fc8d62,car
9,1,62,0,2018,1,13,5,3,1,6,0,1,1,0,0,0,0,0,699266.5433,5333031.6382,11.677579845,48.119333498,1,#66c2a5,bicycle
9,7,71,129,2018,1,17,2,2,2,6,2,0,1,0,0,0,0,1,660135.0458,5355839.1434,11.160814724,48.335428812,2,#fc8d62,car
9,1,84,112,2018,1,14,5,3,5,3,0,0,1,0,0,0,0,0,702565.5017,5337491.9517,11.723978282,48.158376573,2,#fc8d62,car
9,1,62,0,2018,1,13,5,3,3,6,0,0,1,0,0,0,1,0,686117.2313,5335260.2138,11.502044518,48.143344208,2,#fc8d62,car
9,1,84,149,2018,1,17,7,3,5,3,2,0,1,0,0,0,0,0,690059.3677,5351188.2309,11.562122891,48.285337759,2,#fc8d62,car
9,1,62,0,2018,1,20,5,3,0,6,2,0,1,0,0,0,0,0,692730.8828,5339070.1051,11.592587527,48.175617432,2,#fc8d62,car
9,2,74,113,2018,1,19,2,3,4,2,2,0,1,0,0,0,0,0,728391.8583,5383930.9102,12.095987059,48.566815364,2,#fc8d62,car
9,1,77,115,2018,1,7,2,3,9,1,1,0,1,0,0,0,0,1,733309055.0,5352290217.0,12.144937054,48.280780394,2,#fc8d62,car
9,1,75,139,2018,1,15,3,2,2,6,0,0,1,0,0,1,0,1,711632.4937,5329420.8383,11.841747129,48.082897667,2,#fc8d62,car
9,1,84,121,2018,1,9,2,3,2,6,0,0,0,0,0,1,1,1,704902.6678,5331321.1845,11.752402476,48.102173725,5,#a6d854,bus
9,1,81,130,2018,1,7,3,3,3,6,1,0,1,0,0,1,0,0,636657.8543,5323124.8298,10.833675885,48.046767684,2,#fc8d62,car
9,7,71,122,2018,1,10,5,3,3,6,0,0,0,0,0,1,1,0,653023.0736,5362058.4171,11.067176656,48.393107081,5,#a6d854,bus
9,7,61,0,2018,1,12,5,3,3,2,0,1,1,0,0,0,0,0,637988.1585,5353409667.0,10.861352986,48.31880793,1,#66c2a5,bicycle
9,1,62,0,2018,1,16,2,3,5,3,2,1,1,0,0,0,0,0,686176.2484,5335259.2123,11.502836684,48.143317939,1,#66c2a5,bicycle
9,7,71,155,2018,1,5,5,3,5,3,2,0,1,0,0,0,0,1,648900961.0,5374264235.0,11.015868142,48.503835363,2,#fc8d62,car
9,1,90,138,2018,1,18,7,3,4,6,2,0,1,0,0,0,0,1,661604.0328,5308271489.0,11.162588671,47.907396588,2,#fc8d62,car
9,1,86,151,2018,1,7,2,3,5,2,1,0,1,0,0,0,1,1,678115.6408,5376341892.0,11.411937364,48.514907478,2,#fc8d62,car
9,1,63,0,2018,1,15,2,3,4,2,0,1,1,0,0,0,0,0,734551.7143,5304284.7633,12.135334324,47.849064999,1,#66c2a5,bicycle
9,7,61,0,2018,1,7,2,3,2,6,0,0,1,0,0,0,0,1,640088.1367,5364033.1619,10.893202457,48.413869447,2,#fc8d62,car
9,1,79,145,2018,1,19,2,3,5,2,2,0,1,0,0,0,0,0,675244.3519,5337615.3915,11.356978492,48.16760368,2,#fc8d62,car
9,1,84,135,2018,1,13,7,3,2,6,0,0,1,0,0,0,0,0,689770.4414,5347315.8368,11.556494425,48.250620154,2,#fc8d62,car
9,1,77,117,2018,1,17,2,3,2,6,1,0,1,0,0,0,0,0,715489.9385,5355172.2643,11.906545549,48.312991013,2,#fc8d62,car
9,1,81,126,2018,1,7,3,2,1,7,0,0,1,0,0,1,0,0,636357.3337,5332427.7643,10.832616294,48.130488104,2,#fc8d62,car
9,1,73,118,2018,1,14,2,3,5,3,0,0,1,0,0,0,0,0,688182.1006,5303407.6812,11.515807936,47.856431723,2,#fc8d62,car
9,1,87,169,2018,1,2,7,2,2,6,2,0,1,0,0,0,1,0,737541.5344,5299233.7749,12.172468244,47.802590989,2,#fc8d62,car
9,1,84,122,2018,1,17,1,2,4,7,2,0,1,0,0,0,0,0,687674.3593,5324156.0474,11.518075834,48.043078933,2,#fc8d62,car
9,1,78,140,2018,1,13,3,3,1,6,0,0,1,0,0,0,0,1,706762.8826,5366054.4149,11.794330396,48.41369032,2,#fc8d62,car
